entity,period,cohort,introduced_commit,original_outcome,three_category_outcome,borderline_branch_outcome,current_master_outcome,outcome_changed_on_borderline_branch,record_level_source,coding_rubric,independent_coders
アケメネス朝ペルシア,BC550-BC330,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
アテネ（ペロポネソス戦争後）,BC404-BC338,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
スパルタ,BC800-BC146,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
カルタゴ,BC814-BC146,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ローマ共和政〜帝政前期,BC509-AD200,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ローマ帝政後期（西）,AD200-AD476,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
プトレマイオス朝エジプト,BC305-BC30,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
漢朝（前漢〜後漢）,BC206-AD220,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ビザンツ帝国（前期）,AD330-AD1000,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ビザンツ帝国（後期）,AD1000-AD1453,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
アッバース朝（前期）,AD750-AD1000,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
アッバース朝（後期）,AD1000-AD1258,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
宋朝中国,AD960-AD1279,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
モンゴル帝国,AD1206-AD1368,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
マムルーク朝エジプト,AD1250-AD1517,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ヴェネツィア共和国,AD697-AD1797,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ハンザ同盟,AD1200-AD1669,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,disrupted,overtaken,True,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
オスマン帝国（前期）,AD1300-AD1600,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
オスマン帝国（後期）,AD1600-AD1922,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
明朝中国,AD1368-AD1644,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
清朝中国（前期）,AD1644-AD1800,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
清朝中国（後期）,AD1800-AD1912,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
李朝朝鮮,AD1392-AD1897,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
